Scientific,Finance,Entertainment
0.3771800179583472,0.3789552935941459,0.3766776396720582
0.36919956574853274,0.3793533243583289,0.35527561135505115
0.36755512348988917,0.3747323669519362,0.36494941237999445
0.37646302528800085,0.3788744895571455,0.3369662315962842
0.37709174127078177,0.3791129222194462,0.3507706518686054
0.37538651841137766,0.3773773431036976,0.3719818221429482
0.372731408823083,0.3714001117099818,0.3440986100287619
0.37664214098730103,0.37522257204135234,0.3721372763038603
0.3525497483230499,0.36529896480474067,0.3672341642846273
0.3749390877647489,0.37856278912192876,0.34905575388707616
